花名,花語,關於花,品種,產地,上市日期,開花季節,花期,生日花,花語索引
百蓮子,愛情的降臨 情書 知性打扮,從充滿光的細窄葉子中，花莖向上筆直延伸，並以放射狀模樣開出了數十朵或白或藍或紫的花朵，百蓮子的花名在希臘文中帶有「愛之花」的裔嵐，這也成為了「愛情的降臨」、「情書」的花語由來；至於「知性打扮」則是因為白蓮子淡藍色花朵給人清爽、纖細又知性的印象而得。在日本也因為百蓮子的開花模樣與君子蘭香四，所以又將之稱為「紫君子蘭」。,百蓮子科,南非,5~8,夏季,5~7天,"6/8,6/19,6/29",愛情，家庭，魅力，個性
洋蓍草,治療 照顧,"洋蓍草是一種具備多樣藥效的草本植物»也以「yarrow」之名著稱，在歐洲不僅被視為藥用植物，還具有驅逐惡魔的強大能量，因此也會被用來裝飾婚禮花
束。而「Achillea」則是源自於希臘神話中的英雄——阿基里斯，根據傳説洋蓍草還曾在特洛伊戰爭中用來治療受傷的士兵。至於在日本則因為葉片形狀，而有著「西洋鋸草」的名稱。",菊科,北半球溫帶地區,5~6,夏季,1星期,"8/2,11/17,9/3",治癒，幸福，喜悅，新生活，友情
紫花藿香薊,舒適 永恆之美,花期非常長，接力盛開的花朵彷彿不會褪色一般，因此紫花藿香薊名就香於希臘文中有著「不老」意味的「a geras」，而「永恆之美」、「舒適」樣源自於此。因為擁有與中藥藥材「藿香」相似的葉片，加上如同迷你薊花的花型，而獲得了「藿香薊」的名稱，至於英文名稱則是因為細碎蓬鬆的花瓣，猶如蠶絲而被稱為「Foss flower」。,菊科 藿香薊屬,中∼南美洲,5~10,夏季,1 星期,5/3、7/15、9/14,美，稱讚，治癒，幸福，喜悅，新生活，友情
薊花,獨立 安心 嚴格,因為葉子等長有尖刺，想要摘花就會被刺到而嚇一跳，因此日本就引用帶有「吃驚」意思的古語「Azamu」來命名爲薊花Azami 。薊花在蘇格蘭還有著一段歴史，126年入侵的鄰國士兵在黑暗中因爲踩到了薊花，痛的大叫出聲，也讓蘇格蘭察覺這支企圖進攻的軍隊，而成功地守住國家，也因此將薊花視作國家象徵，「獨立」的花語就是來自這個故事。,菊科 薊屬,北半球,4~11,春夏季,1星期,4/22 9/18 10/21,治癒，幸福，喜悅，新生活，友情，其他
杜鵑花,節制 滿足 被你所愛很幸福,"所謂的「杜鵑花Azalea」，指的是江戶時代末期到明治年間傳入歐洲的「山杜鵰」、「皋月杜鵰」，經過改良成為盆栽品種的常綠杜鵑總稱，在比利時培育出來以後引進回日本，充滿觀賞樂趣，也是杜鵑花品種當中能開出鮮豔大朵花的一種。
花名來自於拉丁語的「乾燥azamos」，因為即使是再怎麼樣乾燥，貧瘠的土壤，杜鵑花也能生長得非常好，所以也因此被賦予了「節制」、「滿足」的花語。",杜鵑花科 杜鵑花屬,歐洲,4~5,春季,5~7天,3/10 8/8(紅) 12/22(紅),愛情，家庭，治癒，幸福，喜悅，新生活，友情，其他
白色繡球花,包容,「見異思遷」的花語以及「七變化」的別名，來自於繡球花的花色會隨著時間而逐漸出現變化，而且還有一段非常有名的故事，就是在江戶時代來到長崎的德國醫師兼自然歷史學家的philipp Franz vonsiebold ，他以在日本愛上的女子、楠本瀧之名，將美麗的大輪花品種命名為「oaksa」並介紹給歐洲人認識。至於「堅韌」的花語則不僅僅是因為繡球花的花期很長，還包含了即使丈夫返回故國、依舊不改愛戀的阿瀧的心思在裡面。,繡球花科 繡球屬,日本亞洲,5~7,夏季,五天左右,6/3 6/14 6/26,
綠色繡球花,專一的愛、執著的愛,「見異思遷」的花語以及「七變化」的別名，來自於繡球花的花色會隨著時間而逐漸出現變化，而且還有一段非常有名的故事，就是在江戶時代來到長崎的德國醫師兼自然歷史學家的philipp Franz vonsiebold ，他以在日本愛上的女子、楠本瀧之名，將美麗的大輪花品種命名為「oaksa」並介紹給歐洲人認識。至於「堅韌」的花語則不僅僅是因為繡球花的花期很長，還包含了即使丈夫返回故國、依舊不改愛戀的阿瀧的心思在裡面。,繡球花科 繡球屬,日本亞洲,5~7,夏季,五天左右,6/3 6/14 6/26,
紅色繡球花,有活力的女性、永遠的愛,「見異思遷」的花語以及「七變化」的別名，來自於繡球花的花色會隨著時間而逐漸出現變化，而且還有一段非常有名的故事，就是在江戶時代來到長崎的德國醫師兼自然歷史學家的philipp Franz vonsiebold ，他以在日本愛上的女子、楠本瀧之名，將美麗的大輪花品種命名為「oaksa」並介紹給歐洲人認識。至於「堅韌」的花語則不僅僅是因為繡球花的花期很長，還包含了即使丈夫返回故國、依舊不改愛戀的阿瀧的心思在裡面。,繡球花科 繡球屬,日本亞洲,5~7,夏季,五天左右,6/3 6/14 6/26,
藍紫繡球花,冷酷 無情 殘酷的愛,「見異思遷」的花語以及「七變化」的別名，來自於繡球花的花色會隨著時間而逐漸出現變化，而且還有一段非常有名的故事，就是在江戶時代來到長崎的德國醫師兼自然歷史學家的philipp Franz vonsiebold ，他以在日本愛上的女子、楠本瀧之名，將美麗的大輪花品種命名為「oaksa」並介紹給歐洲人認識。至於「堅韌」的花語則不僅僅是因為繡球花的花期很長，還包含了即使丈夫返回故國、依舊不改愛戀的阿瀧的心思在裡面。,繡球花科 繡球屬,日本亞洲,5~7,夏季,五天左右,6/3 6/14 6/26,
繡球花,家族、圓滿、團聚、見異思遷,「見異思遷」的花語以及「七變化」的別名，來自於繡球花的花色會隨著時間而逐漸出現變化，而且還有一段非常有名的故事，就是在江戶時代來到長崎的德國醫師兼自然歷史學家的philipp Franz vonsiebold ，他以在日本愛上的女子、楠本瀧之名，將美麗的大輪花品種命名為「oaksa」並介紹給歐洲人認識。至於「堅韌」的花語則不僅僅是因為繡球花的花期很長，還包含了即使丈夫返回故國、依舊不改愛戀的阿瀧的心思在裡面。,繡球花科 繡球屬,日本亞洲,5~7,夏季,五天左右,6/3 6/14 6/26,家庭，其他
