1,一朵玫瑰,花語,象徵著一見鍾情
2,丁香,花語,回憶
3,丁香大丁香,花語,神秘
4,丁香白,花語,純潔
5,丁香紅,花語,想起初戀的她、羞怯
6,丁香花,花語,光輝
7,七朵玫瑰,花語,表示「我迷戀你」
8,七里香,花語,其實就是月橘，盛開時會散放馥郁芳香，因此有「我是你的俘虜」這樣浪漫的花語，同時因為純白潔淨的外表，有「反戰之殤」這樣的象徵。由於「七里香」是華語歌手周杰倫知名的作品，它也能象徵「我的愛溢出就像雨水」
9,九朵玫瑰,花語,象徵「永恆的愛情」
10,九重葛,花語,開花時，奼紫嫣紅、熱烈簇擁，熱烈綻放的模樣，讓人感受到強勁的生命力，於是有了「熱情」、「活力」、「認真體驗生命」這樣的花語
11,八仙花,花語,自私
12,十字花,花語,虔誠
13,十朵玫瑰,花語,代表「你是完美的」
14,三朵玫瑰,花語,代表「我愛你」
15,三色堇,花語,美麗的
16,三枝藍色妖姬,花語,送花人表達的是另一種情愫——你是我最深的愛戀希望永遠銘記我們這段美麗的愛情故事
17,三葉草,花語,一葉代表祈求 二葉代表希望 三葉代表愛情
18,三輪草,花語,想念
19,千日紅,花語,永不褪色的愛
20,千日草,花語,不朽
21,大岩酮,花語,一見鍾情 高貴大方，有福氣
22,大波斯菊,花語,少女真實的心
23,大花草,花語,難以逃避的
24,大理花,花語,華麗、優雅
25,大麗花,花語,不俗的品味、新鮮、新穎、新意
26,大巖桐,花語,欲望
27,小蒼蘭,花語,純潔、幸福、清新舒暢
28,小蒼蘭花,花語,友誼、信任、體貼和純真，同時，它也有「濃情之花」的美稱
29,山水仙花,花語,美好時光、欣欣向榮
30,山茶花,花語,通常在農曆新年前後開花，用於裝飾房子時，有「富貴」、「繁榮」之意。山茶花在凋謝時是一片一片花瓣謹慎含蓄地凋零，就像是人們追求理想伴侶那樣的小心翼翼，因此若是用來送人時，則有代表著「理想的愛」、「端莊高雅」、「謙讓」的意涵。
31,山茶花白色,花語,純真無邪、你怎能輕視我的愛情、真情
32,山茶花粉色,花語,是你的愛讓我越變越美麗
33,山櫻花,花語,純潔高尚淡薄
34,川上氏忍冬,花語,專注守候，真心地奉獻。
35,不滅忍,花語,冬愛的牽絆、奉獻的愛
36,六朵玫瑰,花語,代表「我想成為你的人」
37,天竺葵,花語,偶然的相遇
38,天堂鳥,花語,自由、幸福、吉祥
39,孔雀草,花語,總是興高采烈
40,月下香,花語,明艷照人的美女
41,月見草,花語,「默默的愛」與「自由之心」。另一方面，月見草之所以得名，是因為它在夜間開放，也代表無牽無掛、自由闖蕩與一剎那的激情
42,月季花,花語,姿秀美，顏色繽紛綺麗，有「花中皇后」的美稱。月季花語是「等待有希望」、「幸福」、「光榮」、「美艷長新」，在各種禮儀場合都很常用
43,月莧草,花語,魔力
44,木天廖,花語,依賴
45,木棉花,花語,珍惜眼前的幸福
46,木暮,花語,勸誘、巧知
47,木蘭花,花語,有「高貴」跟「純潔」之意，也象徵著「尊嚴」。因為木蘭花是先開花，花謝後才長葉，所以木蘭花開時滿樹潔白，毫無雜色，讓人陡生敬仰之感。 因此，木蘭花花語就是「高尚的靈魂」
48,毛茛,花語,也常被稱為「洋牡丹」。它象徵著「魅力」、「吸引力」和「迷戀」，可用來表示對方很有魅力、暗示自己被深深吸引著
49,水仙百合,花語,期待再一次相逢
50,水仙花,花語,只愛自己
51,水仙花山水仙,花語,美好時光、欣欣向榮
52,水仙花中國水仙,花語,多情、想你
53,水仙花西洋水仙,花語,期盼愛情、愛你、純潔
54,水仙花黃水仙,花語,重溫愛情
55,水晶蘭,花語,是一種沒有葉綠素的植物，不行光合作用，靠著腐爛的植物來獲得養分。有「死亡之花」、「幽靈草」、「冥界之花」之稱，不宜拿來送人
56,火百合,花語,熱烈的愛
57,火焰百合（嘉蘭）,花語,勇敢、光榮
58,火鶴花,花語,薪火相傳
59,火鶴花合歡花火鶴白,花語,純潔、平謐、帶來安泰
60,仙人掌,花語,堅硬堅強
61,仙履蘭,花語,代表著「高貴奢華」、「變幻無常的美麗」，黃色仙履蘭也有著「全新的開始」的意思
62,卡多利亞,花語,你真美
63,卡斯比亞,花語,又被稱作「情人草」，它永不凋謝、也永不變色。它的花語是「真誠的喜悅」，經常在手作乾燥花時，被選用為花束的配草
64,卡薩布蘭卡,花語,偉大的愛一種充滿回憶的花，花語是淡泊的永恆易變的不要放棄一個你深愛著的人死亡一種盛開的很傲然，厭世的花一種永恆的美負擔不起的愛
65,玉山山蘿蔔,花語,冷冽的身影，守護無法實現的愛情
66,玉簪花,花語,恬靜寬和
67,玉蟬花,花語,信任
68,玉蘭花,花語,因其堅忍的特性，象徵著強大的韌性，也因為玉蘭花具有相當悠久的歷史，玉蘭花的花語也代表了長久不滅的愛情。
69,白日菊,花語,永失我愛
70,白百合,花語,代表純潔、承諾和重生
71,白色彼岸花,花語,據說來自天堂，代表著想念與思念
